Array_Size,Pattern_Tested,Time,Threads
10000,testMap, 0.000,4
10000,testMapSequential, 0.000,4
10000,testGather, 0.000,4
10000,testGatherSequential, 0.000,4
10000,testReduce, 0.000,4
10000,testReduceSequential, 0.000,4
10000,testScatter, 0.000,4
10000,testScatterSequential, 0.000,4
10000,testPipeline, 0.002,4
10000,testPipelineSequential, 0.000,4
10000,testFarm, 0.000,4
10000,testFarmSequential, 0.000,4
10000,testMap, 0.000,4
10000,testMapSequential, 0.000,4
10000,testGather, 0.000,4
10000,testGatherSequential, 0.000,4
10000,testReduce, 0.000,4
10000,testReduceSequential, 0.000,4
10000,testScatter, 0.000,4
10000,testScatterSequential, 0.000,4
10000,testPipeline, 0.002,4
10000,testPipelineSequential, 0.000,4
10000,testFarm, 0.000,4
10000,testFarmSequential, 0.000,4
10000,testMap, 0.000,4
10000,testMapSequential, 0.000,4
10000,testGather, 0.000,4
10000,testGatherSequential, 0.000,4
10000,testReduce, 0.000,4
10000,testReduceSequential, 0.000,4
10000,testScatter, 0.000,4
10000,testScatterSequential, 0.000,4
10000,testPipeline, 0.002,4
10000,testPipelineSequential, 0.000,4
10000,testFarm, 0.000,4
10000,testFarmSequential, 0.000,4
10000,testMap, 0.000,4
10000,testMapSequential, 0.000,4
10000,testGather, 0.000,4
10000,testGatherSequential, 0.000,4
10000,testReduce, 0.000,4
10000,testReduceSequential, 0.000,4
10000,testScatter, 0.000,4
10000,testScatterSequential, 0.000,4
10000,testPipeline, 0.002,4
10000,testPipelineSequential, 0.000,4
10000,testFarm, 0.000,4
10000,testFarmSequential, 0.000,4
10000,testMap, 0.000,4
10000,testMapSequential, 0.000,4
10000,testGather, 0.000,4
10000,testGatherSequential, 0.000,4
10000,testReduce, 0.000,4
10000,testReduceSequential, 0.000,4
10000,testScatter, 0.000,4
10000,testScatterSequential, 0.000,4
10000,testPipeline, 0.002,4
10000,testPipelineSequential, 0.000,4
10000,testFarm, 0.000,4
10000,testFarmSequential, 0.000,4
10000,testMap, 0.000,4
10000,testMapSequential, 0.000,4
10000,testGather, 0.000,4
10000,testGatherSequential, 0.000,4
10000,testReduce, 0.000,4
10000,testReduceSequential, 0.000,4
10000,testScatter, 0.000,4
10000,testScatterSequential, 0.000,4
10000,testPipeline, 0.002,4
10000,testPipelineSequential, 0.000,4
10000,testFarm, 0.000,4
10000,testFarmSequential, 0.000,4
10000,testMap, 0.000,4
10000,testMapSequential, 0.000,4
10000,testGather, 0.000,4
10000,testGatherSequential, 0.000,4
10000,testReduce, 0.000,4
10000,testReduceSequential, 0.000,4
10000,testScatter, 0.000,4
10000,testScatterSequential, 0.000,4
10000,testPipeline, 0.002,4
10000,testPipelineSequential, 0.000,4
10000,testFarm, 0.000,4
10000,testFarmSequential, 0.000,4
10000,testMap, 0.000,4
10000,testMapSequential, 0.000,4
10000,testGather, 0.000,4
10000,testGatherSequential, 0.000,4
10000,testReduce, 0.000,4
10000,testReduceSequential, 0.000,4
10000,testScatter, 0.000,4
10000,testScatterSequential, 0.000,4
10000,testPipeline, 0.002,4
10000,testPipelineSequential, 0.000,4
10000,testFarm, 0.000,4
10000,testFarmSequential, 0.000,4
10000,testMap, 0.000,4
10000,testMapSequential, 0.000,4
10000,testGather, 0.000,4
10000,testGatherSequential, 0.000,4
10000,testReduce, 0.000,4
10000,testReduceSequential, 0.000,4
10000,testScatter, 0.000,4
10000,testScatterSequential, 0.000,4
10000,testPipeline, 0.002,4
10000,testPipelineSequential, 0.000,4
10000,testFarm, 0.000,4
10000,testFarmSequential, 0.000,4
10000,testMap, 0.000,4
10000,testMapSequential, 0.000,4
10000,testGather, 0.000,4
10000,testGatherSequential, 0.000,4
10000,testReduce, 0.000,4
10000,testReduceSequential, 0.000,4
10000,testScatter, 0.000,4
10000,testScatterSequential, 0.000,4
10000,testPipeline, 0.002,4
10000,testPipelineSequential, 0.000,4
10000,testFarm, 0.000,4
10000,testFarmSequential, 0.000,4
10000,testMap, 0.000,4
10000,testMapSequential, 0.000,4
10000,testGather, 0.000,4
10000,testGatherSequential, 0.000,4
10000,testReduce, 0.000,4
10000,testReduceSequential, 0.000,4
10000,testScatter, 0.000,4
10000,testScatterSequential, 0.000,4
10000,testPipeline, 0.002,4
10000,testPipelineSequential, 0.000,4
10000,testFarm, 0.000,4
10000,testFarmSequential, 0.000,4
10000,testMap, 0.000,4
10000,testMapSequential, 0.000,4
10000,testGather, 0.000,4
